X,R2,RMSE,MAE,COUNT
0.9929,0.9994214865935224,0.00012748896675147118,0.0001076842836272851,34
0.994,0.9991435606946634,0.0001160146710099736,9.928263485638936e-05,52
0.9952,0.9994690932638364,0.00012606098244321358,0.00010380131278808769,82
0.9972,0.9994295130900918,0.00013346881920429043,0.00011424990790805394,143
0.9938,0.9993530433298146,0.00013695644712456953,0.00011924217458115572,37
0.9923,0.9992187273177168,0.00014097456728367802,0.0001209322934587342,27
0.996,0.9993816280966471,0.00012836368257706344,0.0001093404307831336,100
0.9973,0.9996015685831066,0.00013496685475509966,0.00011607696736867006,131
0.9978,0.9995115885735029,0.00013483324870148045,0.0001128421524151951,169
0.9976,0.9993499581811027,0.00015082110222428338,0.00013269493271900323,125
0.9975,0.9993497483414202,0.00014373307320645132,0.00012337094248829792,141
0.9977,0.9995576450720607,0.00014068354374742936,0.00012160695978345184,143
0.9981,0.9995037361698267,0.00013652192413523182,0.00011697089935980908,143
0.9983,0.999489503568086,0.00013110094629636103,0.00011163837276497635,151
0.9986,0.9989592561882342,0.00018015097400242943,0.00013402266183306106,165
1.0062,0.9995998848880525,0.00012365420032853174,9.583810469599502e-05,9
1.0066,0.9995019227957641,0.0001509921176469825,0.00013148731840688653,5
0.9942,0.9992989794200067,0.000142734669102847,0.00012283750490195422,48
0.9945,0.9992898593284554,0.0001366714623765892,0.00011880046159124788,61
0.995,0.999068135016054,0.0001347549905869895,0.00011359917286378071,62
0.9956,0.9993174237357645,0.00013970142508683994,0.00012336471960819567,81
0.9969,0.9993763687348077,0.00012985821915070334,0.00011034555316140178,122
0.9941,0.9991607973130963,0.00013397597308788373,0.00011405933771693435,45
0.9947,0.9991264826280467,0.00013188080475351997,0.0001078293385081168,63
0.9965,0.9994118121184989,0.00013183514549201607,0.00011420054072193442,123
0.9948,0.9993286518916766,0.00014177597412551933,0.00012188741655043493,68
0.9957,0.9995545017984261,0.00012217865628220368,0.00010172695420375813,93
0.9954,0.9992086797800214,0.00013759672575740985,0.00011711124041965883,86
0.9955,0.9993756362303862,0.00014401533164366945,0.0001238740203509328,78
0.9937,0.999272784562664,0.0001399473670058941,0.00012020421242050355,32
0.993,0.9993992094416307,0.00012568971192028738,9.648300544197852e-05,25
0.9926,0.9991501744371006,0.00012415965907717,9.913767914429832e-05,69
0.992,0.9996466901899995,0.00011000415116955983,9.949036600002496e-05,18
0.9916,0.999554741156739,0.00011997454451715528,9.075572317412168e-05,14
0.9913,0.9993859802290291,0.00015388707479592977,0.00013583576826597618,17
0.9912,0.9991546254048761,0.00012842911096933924,0.00010439968831214841,16
0.9924,0.9993232371883897,0.00013256497796028347,0.00011626970383282753,28
0.9932,0.9992065940464645,0.0001285471762717617,0.0001090424244946066,35
0.9936,0.9989867907481954,0.00015545197245099728,0.00013909726943348998,37
0.9935,0.9989943513011779,0.00013855387309310858,0.00012591090981325243,32
0.9931,0.9992635782555155,0.0001325998584276402,0.00011172977749077776,29
0.9934,0.9990811556313132,0.0001378109146562837,0.00011751495915550169,34
0.9939,0.999368267049315,0.0001264613256641422,0.00010769089074855122,43
0.9959,0.9992383354281813,0.00013386311066149694,0.00011451251486939118,103
0.9962,0.9993558340441269,0.00013293196360884374,0.00011332193084598517,112
0.9966,0.9991548940592834,0.0001304764206181356,0.00011323547604322072,184
0.9953,0.9993615238156636,0.00012005098261225958,0.00010318482606849626,65
0.9958,0.9990191472914175,0.00015238655826845294,0.0001344859018273048,114
0.997,0.9993989476280608,0.0001395722376332746,0.00011672267048897972,127
0.9994,0.9970933348913882,0.00031253687679950895,0.00017498054787023538,176
1.0011,0.9669174532060905,0.0012990672715170804,0.00043872359599269977,120
1.0032,0.70070168142445,0.007202257090557321,0.0034849426708747173,61
1.0055,0.9867366071805374,0.0012105900315369405,0.0007825898240330457,12
1.0,0.9992553031057595,0.00015582095078055973,0.0001367922143911678,145
1.0009,0.999466062150676,0.0001589364864503264,0.000139947923588955,132
1.0058,0.999314733917308,0.0001597504627826329,0.00013011965139509871,11
1.0057,0.9997446169044315,0.00010542183773176965,8.032754354805882e-05,8
1.0061,0.9995201421870142,0.00010661256733395527,8.190952866971024e-05,11
1.0071,0.9997650559947435,0.00010017074200532602,8.596032438734635e-05,4
1.0073,0.9993341445652907,0.00012484351347176974,7.95903062818848e-05,5
1.007,1.0,2.220446049250313e-16,2.220446049250313e-16,2
1.0069,0.9998586020713924,7.849016975311382e-05,7.002171503981256e-05,7
1.0065,0.9997684025237327,9.759842449993315e-05,9.224550644569365e-05,7
1.0064,1.0,6.012996326510578e-16,5.921189464667501e-16,3
1.0068,0.9988676305335752,0.00011976386888552733,9.928109653509765e-05,5
1.006,0.9993097063163093,0.0001492193290005314,0.00012662052738267635,13
1.0052,0.9995014986860605,0.00016069846739586238,0.00012031330979733745,11
1.0054,0.9917810989605194,0.0009198824891295137,0.0005376250761453107,18
1.0056,0.998529107832276,0.0006795935996236817,0.0005976749748503164,9
1.0045,0.9372170341073356,0.002912837888012746,0.00137502942031049,24
1.0053,0.9804901211129341,0.0014964085045715567,0.0010749582162645765,12
1.0036,0.6887038972955819,0.015428502972592247,0.011800528161094035,36
1.0004,0.9988605832451204,0.0002022093966469715,0.00015579146115308158,107
0.9999,0.9994363793538266,0.00013616779021650996,0.0001148442894711933,157
0.9992,0.9995221181261846,0.0001306936684996552,0.00011023037406264584,147
0.9997,0.9995401802052447,0.00012548373756353956,0.00010437318372594736,131
0.9995,0.9995480621499568,0.00013155126593734882,0.00011593787561688954,154
0.9984,0.999267572274638,0.00014522719814291275,0.0001261923549884081,150
0.9998,0.9973971904730653,0.00028719485607303733,0.00015960916837434613,150
0.9985,0.9233237432659873,0.0016694250115353222,0.0011971347663786267,165
0.998,0.9995213427184246,0.00014069141013369962,0.00012281514783409636,169
1.0006,0.9993825561954177,0.0001476320864315984,0.0001262564282035095,134
0.9996,0.9994879594569352,0.0001385619906103152,0.00010952757253176639,155
1.0007,0.9249914662505017,0.0018565691318467963,0.0005564336291879549,136
