datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,error
2025/05/02 15:00:00,8.49,17.28,13.29,98.29,25.7,66.13,90.32,3.2323271061931504,2787630.3272589785,2865884.1313424595,18274706.41333333,57.51671310337264,9.69,0.1893781077363315,
2025/05/03 01:30:00,10.24,17.9,14.26,98.83,25.61,66.72,89.49,3.1784856989324393,2379249.8069202597,2647999.595810187,15979693.784999996,58.13290556979325,9.73,0.2123938188654998,
2025/05/03 04:00:00,10.02,17.71,14.1,99.37,25.6,66.3,90.04,3.2071128790921333,2469119.008708537,2692755.4303933196,16555405.533333343,58.220798227532725,9.75,0.2064850446024826,
2025/05/03 06:30:00,9.79,17.53,13.91,98.64,25.55,65.88,90.03,3.220328719378397,2517093.0449353186,2733711.28308568,16910024.541666668,58.16591394495248,9.69,0.20342692044913982,
2025/05/03 09:00:00,9.55,17.39,13.74,98.94,25.58,65.47,90.02,3.2180953694006584,2531432.3944707867,2759117.9621800515,17026202.41666666,58.11328117140437,9.64,0.20259364212915146,
2025/05/03 11:30:00,9.37,17.1,13.49,98.77,25.51,66.02,90.01,3.203462557240391,2500480.8122610333,2741086.014005159,16791863.14055556,58.35330174461757,9.6,0.2046871587303446,
2025/05/03 14:00:00,9.58,17.23,13.63,98.56,25.6,66.58,89.99,3.1913469802434156,2443670.1397789125,2696893.692322158,16406005.018333329,58.07919620120123,9.64,0.20398538784231626,
2025/05/03 16:30:00,8.66,17.49,13.58,98.34,25.66,66.25,89.97,3.222182631798868,2738700.8365471778,2797973.5964502543,17840868.857777774,58.31613021524839,9.83,0.19703089222768735,
2025/05/03 19:00:00,7.94,17.64,13.45,98.14,26.17,65.65,89.93,3.218681718020577,2926936.4482489447,2943259.293676955,18894975.22,58.21994218575469,9.85,0.1940467698395893,
2025/05/03 21:30:00,5.7,17.52,13.31,97.31,25.43,65.57,89.83,3.275754561331615,2851993.042652383,3064316.2941336296,19381092.964444447,58.64573028449547,9.39,0.20864480684080156,
2025/05/04 00:00:00,5.73,17.55,13.38,97.52,25.59,65.68,89.72,3.264554830181609,2838676.817484333,3043237.957854964,19202545.657777768,58.32680590397854,9.44,0.20540437351156676,
2025/05/04 02:30:00,5.69,17.51,13.35,97.77,25.73,65.85,89.61,3.251361776179235,2815901.5937361736,3046633.9229198587,19061928.599999998,58.48837866659949,9.44,0.2073763327959104,
2025/05/04 05:00:00,8.63,17.46,13.51,98.01,25.72,65.89,90.32,3.232717244565746,2722506.3130891933,2820924.505124328,17921036.381111104,58.59639405505891,9.78,0.1973638136432361,
2025/05/04 07:30:00,6.1,17.32,13.11,98.89,26.3,65.82,91.44,3.1904015194285864,2787850.904800602,3054804.0892771645,18641077.84,58.49256846760329,9.48,0.20934886005527706,
2025/05/04 10:00:00,7.17,17.2,13.06,99.67,27.3,66.94,92.53,3.1662884060192407,2916955.5091885906,2968742.467670016,18636483.323333338,57.153803866991495,9.91,0.17586090365231039,
2025/05/04 21:45:00,7.59,17.29,13.13,99.1,26.36,64.96,92.31,3.222350058831329,2899049.0843159147,3024599.3307799185,19088765.361111116,59.78910708021118,9.72,0.20405987781841345,
2025/05/05 00:15:00,9.32,17.07,13.55,104.2,27.8,69.81,95.77,3.1045393440635434,2620683.086079483,2824375.3612331883,16905088.542222217,60.0178372094104,10.1,0.20183664358035153,
2025/05/05 02:45:00,7.54,16.8,12.74,103.43,28.68,67.95,95.94,3.059089606273551,2817122.9797738227,3008085.1452640733,17820450.834999997,59.869382272106975,10.05,0.19904208169660553,
2025/05/05 05:15:00,7.38,16.57,12.56,104.48,29.35,68.28,97.27,3.039495206163559,2944895.0441201935,3076494.6280532824,18302620.68555555,59.71287148797802,10.15,0.19113415826378943,
2025/05/05 07:45:00,6.26,16.44,12.34,101.64,27.92,64.16,94.66,3.1193034470208914,2947245.3386568106,3192089.047887697,19151122.833333336,60.27425773204459,9.67,0.20611488327547572,
2025/05/05 10:15:00,6.84,16.38,12.3,102.37,28.43,65.31,96.29,3.1035353343267627,3046103.6806714716,3212493.088150351,19424460.000000004,60.62526525846232,9.84,0.2019577306019977,
2025/05/05 12:45:00,12.06,16.56,14.31,104.08,26.73,66.46,92.59,2.695098136442712,1708550.9872488661,2418542.0375834103,11123493.095000004,57.30093204981972,9.44,0.21894000862968369,
